MovieID,MovieName,PubYear
13,12 Angry Men,1957
189,2001: A Space Odyssey,1968
421,8 and a Half,1963
379,A Beautiful Mind,2001
135,A Clockwork Orange,1971
445,A Fistful of Dollars,1964
215,A Separation,2011
465,A Streetcar Named Desire,1951
79,Alien,1979
115,Aliens,1986
191,All About Eve,1950
447,All Quiet on the Western Front,1930
503,All the President's Men,1976
181,Amadeus,1984
137,Amelie,2001
107,American Beauty,1999
65,American History X,1998
377,Amores Perros,2000
413,Anatomy of a Murder,1959
317,Annie Hall,1977
71,Apocalypse Now,1979
89,Back to the Future,1985
429,Barry Lyndon,1975
211,Batman Begins,2005
483,Beauty and the Beast,1991
381,Before Midnight,2013
491,Before Sunrise,1995
351,Ben-Hur,1959
187,Bicycle Thieves,1948
393,Black Swan,2010
243,Blade Runner,1982
163,Braveheart,1995
471,Bringing Up Baby,1938
289,Butch Cassidy and the Sundance Kid,1969
49,Casablanca,1942
291,Casino,1995
175,Chinatown,1974
151,Cinema Paradiso,1988
95,Citizen Kane,1941
75,City Lights,1931
41,City of God,2002
275,Cool Hand Luke,1967
145,Das Boot,1981
279,Diabolique,1955
333,Dial M for Murder,1954
207,Die Hard,1988
459,District 9,2009
111,Django Unchained,2012
371,Dog Day Afternoon,1975
369,Donnie Darko,2001
123,Double Indemnity,1944
227,Downfall,2004
77,Dr. Strangelove,1964
161,Eternal Sunshine of the Spotless Mind,2004
431,Fanny and Alexander,1982
261,Fargo,1996
19,Fight Club,1999
323,Finding Nemo,2003
221,For a Few Dollars More,1965
35,Forrest Gump,1994
165,Full Metal Jacket,1987
383,Gandhi,1982
113,Gladiator,2000
297,Gone with the Wind,1939
287,Good Will Hunting,1997
27,Goodfellas,1990
259,Gran Torino,2008
203,Grave of the Fireflies,1988
83,Gravity,2013
361,Groundhog Day,1993
443,Harry Potter and the Deathly Hallows: Part 2,2011
237,Heat,1995
325,High Noon,1952
315,Hotel Rwanda,2004
335,How to Train Your Dragon,2010
375,Howl's Moving Castle,2004
253,Ikiru,1952
415,In the Name of the Father,1993
479,Incendies,2010
29,Inception,2010
201,Indiana Jones and the Last Crusade,1989
437,Infernal Affairs,2002
217,Inglourious Basterds,2009
337,Into the Wild,2007
463,Ip Man,2008
267,It Happened One Night,1934
57,It's a Wonderful Life,1946
295,Jaws,1975
293,Judgment at Nuremberg,1961
449,Jurassic Park,1993
303,Kill Bill: Vol. 1,2003
169,L.A. Confidential,1997
481,La Haine,1995
419,La Strada,1954
139,Lawrence of Arabia,1962
61,Leon: The Professional,1994
91,Life Is Beautiful,1997
